Número de candidatos votados - prefeito
Sigla;Código;Município;2004;2008;2012;2016;2020;
AP;1600501;Oiapoque;4;3;4;4;6;
AP;1600535;Porto Grande;;3;6;5;7;
AP;1600550;Pracuúba;3;2;4;2;5;
AP;1600600;Santana;4;5;5;6;9;
AP;1600709;Tartarugalzinho;3;2;4;4;4;
AP;1600808;Vitória do Jari;2;4;4;3;7;
BA;2900108;Abaíra;2;2;2;2;2;
BA;2900207;Abaré;2;3;3;2;2;
BA;2900306;Acajutiba;2;4;2;4;2;
BA;2900355;Adustina;3;2;2;3;3;
BA;2900405;Água Fria;2;4;2;3;4;
BA;2900504;Érico Cardoso;2;1;2;2;2;
BA;2900603;Aiquara;2;2;4;3;2;
BA;2900702;Alagoinhas;;4;3;6;7;
BA;2900801;Alcobaça;3;5;3;4;3;
BA;2900900;Almadina;3;3;3;2;3;
BA;2901007;Amargosa;4;4;;2;2;
BA;2901106;Amélia Rodrigues;4;5;;6;;
BA;2901155;América Dourada;2;3;1;3;4;
BA;2901205;Anagé;2;3;2;;7;
BA;2901304;Andaraí;2;4;3;3;2;
BA;2901353;Andorinha;3;3;4;4;3;
BA;2901403;Angical;5;3;2;4;3;
BA;2901502;Anguera;2;3;3;2;2;
BA;2901601;Antas;2;3;2;2;;
BA;2901700;Antônio Cardoso;4;2;3;4;4;
BA;2901809;Antônio Gonçalves;2;3;3;2;3;
BA;2901908;Aporá;3;2;2;2;3;
BA;2901957;Apuarema;3;3;2;2;2;
BA;2902005;Aracatu;2;3;2;2;2;
BA;2902054;Araças;3;3;2;3;4;
BA;2902104;Araci;3;4;3;;3;
BA;2902203;Aramari;3;3;5;2;3;
BA;2902252;Arataca;4;2;3;5;3;
BA;2902302;Aratuípe;4;3;5;2;2;
BA;2902401;Aurelino Leal;5;4;4;3;2;
BA;2902500;Baianópolis;2;2;3;2;4;
BA;2902609;Baixa Grande;4;4;2;3;2;
BA;2902658;Banzaê;2;2;2;2;2;
BA;2902708;Barra;3;2;2;3;4;
BA;2902807;Barra da Estiva;2;3;3;2;3;
BA;2902906;Barra do Choça;2;2;2;3;4;
BA;2903003;Barra do Mendes;2;3;3;2;2;
BA;2903102;Barra do Rocha;2;2;2;2;2;
BA;2903201;Barreiras;2;5;6;3;3;
BA;2903235;Barro Alto;3;2;3;2;2;
BA;2903276;Barrocas;2;2;2;;2;
BA;2903300;Governador Lomanto Júnior;2;5;;;2;
BA;2903409;Belmonte;2;2;3;3;3;
BA;2903508;Belo Campo;3;4;4;3;3;
BA;2903607;Biritinga;2;3;3;2;5;
BA;2903706;Boa Nova;2;5;2;3;4;
BA;2903805;Boa Vista do Tupim;3;3;2;2;4;
BA;2903904;Bom Jesus da Lapa;4;2;5;3;3;
BA;2903953;Bom Jesus da Serra;2;2;4;2;3;
BA;2904001;Boninal;2;2;2;3;3;
BA;2904050;Bonito;3;2;3;2;2;
BA;2904100;Boquira;2;2;3;2;2;
BA;2904209;Botuporã;2;2;2;2;;
BA;2904308;Brejões;3;3;2;4;5;
BA;2904407;Brejolândia;2;2;2;;2;
BA;2904506;Brotas de Macaúbas;3;3;2;2;4;
BA;2904605;Brumado;3;3;3;;4;
BA;2904704;Buerarema;4;3;4;6;2;
BA;2904753;Buritirama;2;3;2;2;4;
BA;2904803;Caatiba;3;2;;3;2;
BA;2904852;Cabaceiras do Paraguaçu;2;2;3;2;4;
BA;2904902;Cachoeira;5;4;3;3;4;
BA;2905008;Caculé;2;2;2;2;2;
BA;2905107;Caém;2;2;2;2;2;
BA;2905156;Caetanos;2;2;;2;3;
BA;2905206;Caetité;4;2;2;3;4;
BA;2905305;Cafarnaum;3;2;3;2;2;
BA;2905404;Cairu;4;6;3;2;4;
